1.000000-5  0.000000+0 0.000000+0                                            
 8.820000+5  2.761400-1 4.337900-2 1.367800-2 0.000000+0                      
 8.840000+5  2.877500-1 5.303900-2 1.973100-2 0.000000+0                      
 8.850000+5  2.861400-1 5.617500-2 1.138600-2 0.000000+0                      
 8.880000+5  2.887600-1 4.828200-2 4.507200-3 0.000000+0                      
 8.890000+5  2.915600-1 4.854400-2 1.462500-2 0.000000+0                      
 8.980000+5  3.282800-1 7.652400-2 1.345800-2 0.000000+0                      
 9.030000+5  3.739200-1 1.095800-1 1.497400-2 0.000000+0                      
 9.080000+5  4.112400-1 1.254200-1 1.920500-2 0.000000+0                      
 9.120000+5  4.343400-1 1.366300-1 1.544000-2 0.000000+0                      
 9.160000+5  4.639700-1 1.525000-1 1.719700-2 0.000000+0                      
 9.170000+5  4.642900-1 1.559300-1 1.642300-2 0.000000+0                      
 9.180000+5  4.714800-1 1.581300-1 2.333100-2 0.000000+0                      
 9.220000+5  4.817900-1 1.609300-1 1.968300-2 0.000000+0                      
 9.250000+5  4.780500-1 1.552100-1 1.726200-2 0.000000+0                      
 9.280000+5  4.631600-1 1.487600-1 1.350400-2 0.000000+0                      
 9.310000+5  4.741600-1 1.496600-1 1.796300-2 0.000000+0                      
 9.330000+5  4.663800-1 1.420600-1 1.807000-2 0.000000+0                      
 9.340000+5  4.601700-1 1.422800-1 1.291500-2 0.000000+0                      
 9.360000+5  4.590000-1 1.378400-1 1.869200-2 0.000000+0                      
 9.370000+5  4.398800-1 1.321600-1 1.032400-2 0.000000+0                      
 9.380000+5  4.481300-1 1.337800-1 1.690900-2 0.000000+0                      
 9.420000+5  4.384100-1 1.219500-1 1.064100-2 0.000000+0                      
 9.440000+5  4.201800-1 1.094200-1 7.144000-3 0.000000+0                      
 9.450000+5  4.266600-1 1.085000-1 1.061800-2 0.000000+0                      
 9.480000+5  4.218300-1 1.082200-1 1.749000-2 0.000000+0                      
 9.510000+5  4.065500-1 9.585400-2 6.131800-3 0.000000+0                      
 9.520000+5  4.062700-1 9.561000-2 1.458200-2 0.000000+0                      
 9.530000+5  3.897500-1 9.238000-2 5.439900-3 0.000000+0                      
 9.550000+5  3.927800-1 8.802600-2 1.345700-2 0.000000+0                      
 9.560000+5  3.856500-1 8.207800-2 8.666300-3 0.000000+0                      
 9.580000+5  3.824300-1 7.733900-2 1.748300-2 0.000000+0                      
 9.600000+5  3.682800-1 7.452200-2 6.672200-3 0.000000+0                      
 9.660000+5  3.029800-1 7.711000-2 2.606200-2 0.000000+0                      
 9.690000+5  3.396600-1 7.749500-2 2.781800-2 0.000000+0                      
 9.720000+5  3.359900-1 5.365400-2 1.120800-2 0.000000+0                      
 9.730000+5  3.291700-1 6.358400-2 1.292200-2 0.000000+0                      
 9.750000+5  3.449300-1 7.185200-2 2.170900-2 0.000000+0                      
 9.760000+5  3.454900-1 6.808000-2 1.485900-2 0.000000+0                      
 9.770000+5  3.580300-1 6.841100-2 1.356600-2 0.000000+0                      
 9.800000+5  3.911000-1 8.944700-2 1.261100-2 0.000000+0                      
 9.810000+5  3.918000-1 9.723200-2 1.057100-2 0.000000+0                      
