1.000000-5  0.000000+0 0.000000+0                                            
 1.759000+6  4.910400-1 1.555900-1 4.155600-2 0.000000+0                      
 1.761000+6  4.711200-1 1.734300-1 4.360500-2 0.000000+0                      
 1.763000+6  4.785400-1 1.869300-1 5.187300-2 0.000000+0                      
 1.766000+6  4.767600-1 1.777700-1 3.882300-2 0.000000+0                      
 1.767000+6  4.863400-1 1.780700-1 4.131500-2 0.000000+0                      
 1.769000+6  4.352500-1 1.445600-1 1.254100-2 0.000000+0                      
 1.774000+6  4.453700-1 1.494100-1 4.298000-2 0.000000+0                      
 1.775000+6  4.541600-1 1.444900-1 4.997500-2 0.000000+0                      
 1.777000+6  4.578100-1 1.393500-1 4.000400-2 0.000000+0                      
 1.779000+6  3.715600-1 1.490200-1 1.423700-2 0.000000+0                      
 1.780000+6  3.565500-1 1.446000-1-9.135500-3 0.000000+0                      
 1.781000+6  4.086900-1 1.395400-1 4.538100-2 0.000000+0                      
 1.782000+6  3.994800-1 1.605200-1 3.589100-2 0.000000+0                      
 1.784000+6  4.206800-1 1.612300-1 5.140400-2 0.000000+0                      
 1.785000+6  4.017400-1 1.477600-1 3.201900-2 0.000000+0                      
 1.787000+6  4.153800-1 1.456900-1 4.478600-2 0.000000+0                      
 1.789000+6  4.246300-1 1.452900-1 1.637200-2 0.000000+0                      
 1.790000+6  4.311000-1 1.414200-1 3.249000-2 0.000000+0                      
 1.794000+6  3.557000-1 1.364700-1-1.840600-2 0.000000+0                      
 1.809000+6  4.618900-1 1.951200-1 5.628600-2 0.000000+0                      
 1.810000+6  4.752000-1 1.945500-1 7.538300-2 0.000000+0                      
 1.812000+6  4.600200-1 1.662300-1 6.235200-2 0.000000+0                      
 1.815000+6  4.404200-1 1.507100-1 2.768000-2 0.000000+0                      
 1.816000+6  4.624700-1 1.574300-1 2.936400-2 0.000000+0                      
 1.817000+6  4.836400-1 1.650900-1 4.959600-2 0.000000+0                      
 1.818000+6  4.597700-1 9.449300-2                                            
 1.819000+6  4.628900-1 1.522600-1 4.661900-2 0.000000+0                      
 1.822000+6  4.215700-1 1.446300-1-4.424800-3 0.000000+0                      
 1.825000+6  3.916800-1 1.662700-1 2.828000-2 0.000000+0                      
 1.826000+6  4.212000-1 1.582100-1 7.342600-2 0.000000+0                      
 1.829000+6  4.224700-1 1.489100-1 8.145100-3 0.000000+0                      
 1.833000+6  4.277800-1 1.569300-1 5.479000-2 0.000000+0                      
 1.839000+6  3.978300-1 1.150400-1-1.112900-2 0.000000+0                      
 1.848000+6  4.189300-1 1.404600-1 4.576300-2 0.000000+0                      
 1.852000+6  3.615200-1 1.114600-1 5.766900-3 0.000000+0                      
 1.854000+6  3.771000-1 1.353600-1 6.205900-2 0.000000+0                      
 1.857000+6  3.548600-1 9.935300-2 4.943900-2 0.000000+0                      
 1.858000+6  3.756800-1 9.948200-2 5.020000-2 0.000000+0                      
 1.859000+6  3.638100-1 1.350900-1 6.868900-3 0.000000+0                      
 1.860000+6  4.215300-1 1.508000-1 4.551200-2 0.000000+0                      
 1.863000+6  4.061600-1 1.455000-1 4.344700-2 0.000000+0                      
 1.865000+6  3.456500-1 9.381000-2 1.559600-2 0.000000+0                      
 1.871000+6  3.353700-1 1.024100-1 1.617700-2 0.000000+0                      
 1.872000+6  3.655700-1 1.232900-1 5.391100-2 0.000000+0                      
 1.873000+6  3.290900-1 1.427100-1 2.908100-3 0.000000+0                      
 1.874000+6  3.649900-1 1.144400-1 4.446600-2 0.000000+0                      
 1.877000+6  3.357900-1 6.567700-2-3.522600-2 0.000000+0                      
 1.883000+6  2.999700-1 1.223700-1 1.533600-2 0.000000+0                      
 1.887000+6  2.902200-1 9.916300-2 8.531400-2 0.000000+0                      
 1.888000+6  2.837700-1 8.848800-2 8.028700-2 0.000000+0                      
 1.889000+6  2.899100-1 6.854400-2 5.493500-2 0.000000+0                      
 1.893000+6  3.234700-1 9.322900-2-4.456700-2 0.000000+0                      
 1.895000+6  3.316100-1 8.997100-2 1.950300-2 0.000000+0                      
 1.897000+6  3.400500-1 1.173200-1 2.168400-2 0.000000+0                      
 1.900000+6  3.117400-1 1.149100-1-4.053500-3 0.000000+0                      
 1.902000+6  3.645500-1 9.499200-2 4.982700-2 0.000000+0                      
 1.904000+6  3.262900-1 6.803200-2 6.390600-3 0.000000+0                      
 1.905000+6  3.410700-1 3.661300-2 1.104200-2 0.000000+0                      
 1.911000+6  3.463700-1 8.384100-2 1.909700-2 0.000000+0                      
 1.913000+6  3.051300-1 8.486400-2-4.605900-2 0.000000+0                      
 1.914000+6  3.853900-1 8.397200-2 4.028400-3 0.000000+0                      
 1.916000+6  3.343600-1 8.154700-2-3.883800-3 0.000000+0                      
 1.922000+6  3.574500-1 5.578700-2                                            
 1.924000+6  4.099600-1 6.144500-2 9.018100-3 0.000000+0                      
 1.927000+6  2.358000-1 7.128000-2 9.234400-3 0.000000+0                      
 1.929000+6  3.346600-1 7.509800-2 3.926800-2 0.000000+0                      
 1.934000+6  3.203400-1 1.503600-1 5.830200-2 0.000000+0                      
 1.939000+6  4.252100-1 1.819300-1 8.920000-2 0.000000+0                      
 1.942000+6  3.569000-1 2.085900-1 3.761800-2 0.000000+0                      
 1.943000+6  4.051600-1 1.820200-1 8.377000-2 0.000000+0                      
 1.946000+6  3.688200-1 1.707300-1 2.571900-2 0.000000+0                      
 1.955000+6  4.387000-1 2.190900-1 7.524900-2 0.000000+0                      
 1.956000+6  4.441700-1 2.191400-1 9.215200-2 0.000000+0                      
 1.958000+6  4.366400-1 2.148600-1 5.316300-2 0.000000+0                      
 1.962000+6  4.635200-1 1.807100-1 6.478900-2 0.000000+0                      
 1.967000+6  4.595800-1 1.897700-1 3.893900-2 0.000000+0                      
 1.970000+6  4.499100-1 1.652200-1 4.772300-2 0.000000+0                      
 1.971000+6  4.349600-1 1.746000-1 5.096700-2 0.000000+0                      
 1.972000+6  4.472800-1 1.870300-1 7.557200-2 0.000000+0                      
 1.974000+6  4.767000-1 1.724900-1 5.930800-2 0.000000+0                      
 1.975000+6  4.575500-1 1.581000-1 1.163400-2 0.000000+0                      
 1.977000+6  4.785800-1 1.746300-1 5.286900-2 0.000000+0                      
 1.979000+6  4.352800-1 1.279400-1 1.869900-2 0.000000+0                      
 1.981000+6  4.671700-1 1.394000-1 3.696000-2 0.000000+0                      
 1.983000+6  4.495500-1 1.516600-1 5.114500-2 0.000000+0                      
 1.985000+6  4.507600-1 1.525500-1 3.186900-2 0.000000+0                      
 1.989000+6  4.625300-1 1.486000-1 3.799300-2 0.000000+0                      
 1.993000+6  4.393400-1 1.519700-1 1.326000-2 0.000000+0                      
 1.997000+6  4.570800-1 1.901900-1 3.053700-2 0.000000+0                      
 2.000000+6  4.832700-1 1.331800-1 1.195700-2 0.000000+0                      
 2.100000+6  4.250000-1 1.650000-1 4.500000-2 5.000000-3                      
 2.200000+6  3.950000-1 1.950000-1 7.800000-2 6.000000-3                      
 2.520000+6  4.781100-1 1.868900-1 4.952100-2 9.549900-3                      
 3.970000+6  4.568000-1 2.469000-1 1.041000-1 4.404000-2                      
 4.040000+6  4.928000-1 2.563000-1 9.170000-2 2.252000-2                      
 4.370000+6  4.881000-1 2.866000-1 1.527000-1 6.410000-2                      
 5.000000+6  4.761000-1 2.885000-1 1.582000-1 7.149000-2 2.114000-2 0.000000+0
 5.440000+6  5.230000-1 3.558000-1 2.200000-1 1.221000-1 4.853000-2 6.603000-3
 6.370000+6  5.462000-1 3.968000-1 2.935000-1 1.758000-1 7.036000-2 2.547000-2
             1.066000-2 0.000000+0                                            
 6.400000+6  5.040000-1 4.090000-1 2.712000-1 1.803000-1 7.128000-2 3.399000-2
 7.600000+6  6.243000-1 4.693000-1 3.588000-1 2.665000-1 1.497000-1 6.200000-2
             3.257000-2 1.233000-2                                            
 8.000000+6  5.624000-1 4.113000-1 3.001000-1 2.328000-1 1.189000-1 2.559000-2
             6.929000-3 2.617000-3                                            
 8.520000+6  6.173000-1 4.740000-1 3.642000-1 2.846000-1 1.650000-1 6.667000-2
             4.009000-2 2.319000-2 1.068000-2 0.000000+0                      
 9.700000+6  6.198000-1 4.566000-1 3.537000-1 3.125000-1 1.887000-1 8.707000-2
             3.605000-2 1.917000-2 1.461000-2 0.000000+0                      
 1.410000+7  7.031000-1 5.100000-1 4.124000-1 3.544000-1 2.686000-1 1.657000-1
             8.219000-2 3.451000-2 9.989000-3 0.000000+0                      
 1.600000+7  7.532000-1 5.656000-1 4.461000-1 3.748000-1 3.017000-1 2.098000-1
             1.103000-1 3.942000-2 1.112000-2 2.099000-3                      
 1.800000+7  7.765000-1 5.859000-1 4.575000-1 3.801000-1 3.067000-1 2.246000-1
             1.271000-1 5.123000-2 1.617000-2 3.199000-3                      
 2.000000+7  7.984000-1 6.113000-1 4.779000-1 3.938000-1 3.178000-1 2.406000-1
             1.484000-1 7.057000-2 2.784000-2 8.407000-3 1.491000-3 0.000000+0
