0.00000001	6.018
1.59E-08	6.664
2.51E-08	7.382857143
3.98E-08	8.198857143
6.31E-08	9.019714286
0.0000001	9.724
1.59E-07	10.2
2.51E-07	10.41857143
3.98E-07	10.36028571
0.000000631	10.05914286
0.000001	9.597714286
0.000001585	9.039142857
0.000002512	8.432
0.000003981	7.815142857
0.00000631	7.203142857
0.00001	6.600857143
0.00001585	6.008285714
0.00002512	5.435142857
0.00003981	4.896
0.0000631	4.394742857
0.0001	3.938657143
0.0001585	3.531628571
0.0002512	3.164428571
0.0003981	2.8254
0.000631	2.515028571
0.001	2.244
0.001585	2.013285714
0.002512	1.780142857
0.003981	1.5674
0.00631	1.406628571
0.01	1.262857143
0.01585	1.108885714
0.02512	0.9622
0.03981	0.830571429
0.0631	0.697
0.1	0.5712
0.1585	0.458222857
0.2512	0.345197143
0.3981	0.244314286
0.631	0.167668571
1	0.117591429
1.585	0.079414286
2.512	0.049542857
3.981	0.031595714
6.31	0.019579143
10	0.011156857
15.85	0.007475143
25.12	0.004717743
